F;BRK;BRKSET;SEQRUN;PLATE;RAW;XYLAN;SEAWEED;FERMENTED;SUBSTRATE;ANIMAL;DONOR;UNIQUES;UNIQUES2;BIOLEC
196;BRK50;1;2;3;Xylan;y;n;Xylan;XYL2;Pig;B;XYL2 PigB;XYL2 PigB 196;B1
197;BRK153;2;1;2;Xylan;y;n;Xylan;XYL2;Pig;C;XYL2 PigC;XYL2 PigC 197;B5
198;BRK79;1;2;3;Xylan;y;n;Xylan;XYL2;Pig;C;XYL2 PigC;XYL2 PigC 198;B2
199;BRK85;1;2;3;Xylan;y;n;Xylan;XYLC;Pig;A;XYLC PigA;XYLC PigA 199;B2
200;BRK74;1;2;3;Xylan;y;n;Xylan;XYLC;Pig;A;XYLC PigA;XYLC PigA 200;B2
201;BRK140;2;1;2;Xylan;y;n;Xylan;XYLC;Pig;B;XYL Control PigB;XYL Control PigB 201;B4
202;BRK139;2;1;2;Xylan;y;n;Xylan;XYLC;Pig;B;XYL Control PigB;XYL Control PigB 202;B4
203;BRK86;1;2;3;Xylan;y;n;Xylan;XYLC;Pig;C;XYLC PigC;XYLC PigC 203;B2
204;BRK162;2;1;2;Xylan;y;n;Xylan;XYLC;Pig;C;XYLC PigC;XYLC PigC 204;B5
205;BRK64;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP100;Pig;A;XYL1 EP100 PigA;XYL1 EP100 PigA 205;B1
206;BRK160;2;1;2;XylanRapeseed;y;y;Fermented;XYL1EP100;Pig;A;XYL1 EP100 PigA;XYL1 EP100 PigA 206;B5
207;BRK180;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP100;Pig;B;XYL1 EP100 PigB;XYL1 EP100 PigB 207;B6M
208;BRK105;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP100;Pig;B;XYL1 EP100 PigB;XYL1 EP100 PigB 208;B3
209;BRK63;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP100;Pig;C;XYL1 EP100 PigC;XYL1 EP100 PigC 209;B1
210;BRK110;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP100;Pig;C;XYL1 EP100 PigC;XYL1 EP100 PigC 210;B3
211;BRK134;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Pig;A;XYL1 EP1199 PigA;XYL1 EP1199 PigA 211;B4
212;BRK177;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Pig;A;XYL1 EP1199 PigA;XYL1 EP1199 PigA 212;B6M
213;BRK108;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Pig;B;XYL1 EP1199 PigB;XYL1 EP1199 PigB 213;B3
214;BRK106;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Pig;B;XYL1 EP1199 PigB;XYL1 EP1199 PigB 214;B3
215;BRK109;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Pig;C;XYL1 EP1199 PigC;XYL1 EP1199 PigC 215;B3
216;BRK112;2;1;2;XylanRapeseedSeaweed;y;y;Fermented;XYL1EP1199;Pig;C;XYL1 EP1199 PigC;XYL1 EP1199 PigC 216;B3
217;BRK84;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP200;Pig;A;XYL1 EP200 PigA;XYL1 EP200 PigA 217;B2
219;BRK58;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP200;Pig;B;XYL1 EP200 PigB;XYL1 EP200 PigB 219;B1
221;BRK111;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP200;Pig;C;XYL1 EP200 PigC;XYL1 EP200 PigC 221;B3
222;BRK57;1;2;3;XylanSoybean;y;n;Fermented;XYL1EP200;Pig;C;XYL1 EP200 PigC;XYL1 EP200 PigC 222;B1
223;BRK164;2;1;2;XylanSoybean;y;y;Fermented;XYL1EP2299;Pig;A;XYL1 EP2299 PigA;XYL1 EP2299 PigA 223;B5
225;BRK83;1;2;3;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Pig;B;XYL1 EP2299 PigB;XYL1 EP2299 PigB 225;B2
226;BRK107;2;1;2;XylanSoybeanSeaweed;y;y;Fermented;XYL1EP2299;Pig;B;XYL1 EP2299 PigB;XYL1 EP2299 PigB 226;B3
